Reference,Value,Footprint,Count,Datasheet,Mfg_Part_No
DS1,+3.3V_PWR,LEDs:LED_0805,1,,150080BS75000
R45,1k,Resistors_SMD:R_0805,1,,RC0805FR-071KL
C7,0.01uF,Capacitors_SMD:C_0805,1,,CL21B103KCANNNC
"C4, C2",33uF,WheelerLab:SM2917,2,,T491D336K020AT
"C6, C3, C13, C1, C8, C12, C5, C9, C10, C11, C16",0.1uF,Capacitors_SMD:C_0805,11,,CL21B104KBCNNNC
R43,10k,Resistors_SMD:R_0805,1,,RC0805FR-0710KL
"U1, U2, U3, U4, U5",74HC595A,WheelerLab:SO16E,5,,MM74HC595MX
P2,CONN_01X06,Pin_Headers:Pin_Header_Straight_2x03,1,,
P1,CONN_01X06,Pin_Headers:Pin_Header_Angled_1x06,1,,
IC1,ATMEGA328P-A,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,1,,ATMEGA328P-AU
Y1,RESONATOR,WheelerLab:CSTCE_G15C,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,CSTCE8M00G55-R0
JP1,JUMPER,Resistors_SMD:R_0805,1,,
U6,W25Q64FV,SMD_Packages:SOIC-8-N,1,,W25Q64FVSSIG TR
J1,TFM-125-02-X-DH,WheelerLab:TFM-125-02-X-DH,1,,TFM-125-02-L-DH
"P3, P4, P5, P6",CONN_01X01,Connect:1pin,4,,
"FB1, FB2, FB3, R99, R100, R125, R126, FB4","FERRITE, 0R, 0R, 0R, 0R, FERRITE",Resistors_SMD:R_0805,8,,RC0805JR-070RL
"C15, C14",C,Capacitors_SMD:C_0805,2,,
FB5,FERRITE,Resistors_SMD:R_0805,1,,742792040
"R24, R12, R64, R74, R1, R70, R6, R7, R68, R75, R86, R13, R81, R18, R19, R80, R36, R87, R98, R25, R107, R93, R30, R31, R92, R50, R101, R112, R37, R42, R44, R106, R62, R114, R124, R51, R120, R56, R57, R118",4.75k,Resistors_SMD:R_0805,40,,RC0805FR-074K75L
"R67, R73, R8, R2, R65, R71, R72, R66, R3, R9, R10, R4, R63, R69, R11, R5, R79, R85, R20, R14, R15, R21, R84, R78, R16, R22, R83, R77, R76, R23, R17, R28, R34, R95, R89, R88, R94, R35, R29, R82, R103, R109, R48, R40, R41, R49, R108, R102, R26, R32, R97, R91, R90, R96, R33, R27, R115, R121, R60, R54, R55, R61, R119, R113, R38, R46, R111, R105, R104, R110, R47, R39, R52, R58, R123, R117, R116, R122, R59, R53",300,Resistors_SMD:R_0805,80,,RC0805FR-07300RL
"CH7, CH6, CH4, CH5, CH2, CH3, CH0, CH1, CH15, CH14, CH12, CH13, CH10, CH11, CH8, CH9, CH18, CH19, CH16, CH17, CH27, CH26, CH24, CH25, CH22, CH23, CH20, CH21, CH35, CH34, CH32, CH33, CH30, CH31, CH28, CH29, CH38, CH39, CH36, CH37",AQW216,SMD_Packages:DIP-8_SMD,40,,"TLP227G-2(TP1,N,F)"
