Refs,Quantity,MPN,Manufacturer,datasheet,footprint,value
"C1, C3, C5, C6, C8-C13, C16",11,CL21B104KBCNNNC,Samsung,,Capacitors_SMD:C_0805,0.1uF
"C14, C15",2,CL21C151JBANNNC,Samsung,,Capacitors_SMD:C_0805,150pF
"C2, C4",2,T491D336K020AT,KEMET,,Sci-Bots:SM2917,33uF
C7,1,CL21B103KCANNNC,Samsung,,Capacitors_SMD:C_0805,0.01uF
DS1,1,150080BS75000,Würth Elektronik,,LEDs:LED_0805,+3.3V_PWR
FB1-FB5,5,742792040,Würth Elektronik,,Resistors_SMD:R_0805,FERRITE
JP1,1,DNP,DNP,,Resistors_SMD:R_0805,JUMPER
P1,1,DNP,DNP,,Pin_Headers:Pin_Header_Angled_1x06,CONN_01X06
P2,1,DNP,DNP,,Pin_Headers:Pin_Header_Straight_2x03,CONN_01X06
P3-P6,4,DNP,DNP,,Connect:1pin,CONN_01X01
P7,1,TFM-125-02-L-DH,Samtec,,Sci-Bots:TFM-125-02-X-DH,TFM-125-02-X-DH
"R99, R100",2,RC0805FR-0751RL,Yageo,,Resistors_SMD:R_0805,51
"R125, R126",2,RC0805FR-07150RL,Yageo,,Resistors_SMD:R_0805,150
R43,1,RC0805FR-0710KL,Yageo,,Resistors_SMD:R_0805,10k
R45,1,RC0805FR-071KL,Yageo,,Resistors_SMD:R_0805,1k
U1-U5,5,MM74HC595MX,onsemi,~,Sci-Bots:SO16E,74HC595A
U6,1,W25Q64FVSSIG TR,Winbond,,SMD_Packages:SOIC-8-N,W25Q64FV
U7,1,ATMEGA328P-AU,Microchip,,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,ATMEGA328P-AU
Y1,1,CSTCE8M00G55-R0,Murata,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,Sci-Bots:CSTCE_G15C,RESONATOR
CH0-CH39,40,AQW214EAZ,Panasonic,,SMD_Packages:DIP-8_SMD,AQW214
"R1, R6, R7, R12, R13, R18, R19, R24, R25, R30, R31, R36, R37, R42, R44, R50, R51, R56, R57, R62, R64, R68, R70, R74, R75, R80, R81, R86, R87, R92, R93, R98, R101, R106, R107, R112, R114, R118, R120, R124",40,RC0805FR-074K75L,Yageo,,Resistors_SMD:R_0805,4.75k
"R2-R5, R8-R11, R14-R17, R20-R23, R26-R29, R32-R35, R38-R41, R46-R49, R52-R55, R58-R61, R63, R65-R67, R69, R71-R73, R76-R79, R82-R85, R88-R91, R94-R97, R102-R105, R108-R111, R113, R115-R117, R119, R121-R123",80,RC0805FR-07220RL,Yageo,,Resistors_SMD:R_0805,220
